label,mode,audio,run_index,measured,first_text_ms,first_audio_ms,total_ms,wer_percent,exact_normalized,audio_output_seconds,audio_output_bytes_f32,sse_events,transcript
question_asr,asr,question.wav,0,False,248.29899985343218,,444.39516589045525,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,1,True,238.75366616994143,,442.35445791855454,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,2,True,254.53404197469354,,447.08695774897933,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,3,True,249.65937482193112,,428.93387470394373,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,4,True,239.34762505814433,,430.9477908536792,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,5,True,249.02749992907047,,430.4066249169409,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,6,True,248.35608433932066,,442.63558415696025,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,7,True,252.082500141114,,437.68475018441677,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,8,True,272.38024957478046,,470.9327076561749,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,9,True,256.0354578308761,,443.97429190576077,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
question_asr,asr,question.wav,10,True,254.88866679370403,,446.59579172730446,0,True,,0,17,Can you help me come up with a slogan for my woodworking site business?
long_asr,asr,asr.wav,0,False,848.3317079953849,,1547.0677497796714,0,True,,0,58,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.
long_asr,asr,asr.wav,1,True,856.0337503440678,,1560.8296664431691,0,True,,0,58,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.
long_asr,asr,asr.wav,2,True,856.0366253368556,,1554.3908751569688,0,True,,0,58,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.
long_asr,asr,asr.wav,3,True,848.5238328576088,,1539.0767501667142,0,True,,0,58,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.
long_asr,asr,asr.wav,4,True,848.3544168993831,,1545.560167171061,0,True,,0,58,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.
long_asr,asr,asr.wav,5,True,854.8120423220098,,1583.4660842083395,0,True,,0,58,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.
question_chat,chat,question.wav,0,False,275.01095784828067,363.49474964663386,4742.3458327539265,,,11.42,1096320,192,"Sure, how about something like “Crafting Your Dream Home,” “Handcrafted Woodworking: Your Source for Quality,” or “Turning Wood into Home Magic.” Each of these highlights the quality and creativity of your work."
question_chat,chat,question.wav,1,True,570.125374943018,692.3541659489274,6081.36629126966,,,11.42,1096320,192,"Sure, how about something like “Crafting Your Dream Home,” “Handcrafted Woodworking: Your Source for Quality,” or “Turning Wood into Home Magic.” Each of these highlights the quality and creativity of your work."
question_chat,chat,question.wav,2,True,594.5912497118115,722.2987916320562,6479.199833702296,,,11.42,1096320,192,"Sure, how about something like “Crafting Your Dream Home,” “Handcrafted Woodworking: Your Source for Quality,” or “Turning Wood into Home Magic.” Each of these highlights the quality and creativity of your work."
question_chat,chat,question.wav,3,True,677.3809590376914,799.6996669098735,6876.90129224211,,,11.42,1096320,192,"Sure, how about something like “Crafting Your Dream Home,” “Handcrafted Woodworking: Your Source for Quality,” or “Turning Wood into Home Magic.” Each of these highlights the quality and creativity of your work."
question_chat,chat,question.wav,4,True,700.4681671969593,837.3987921513617,6786.487457808107,,,11.42,1096320,192,"Sure, how about something like “Crafting Your Dream Home,” “Handcrafted Woodworking: Your Source for Quality,” or “Turning Wood into Home Magic.” Each of these highlights the quality and creativity of your work."
question_chat,chat,question.wav,5,True,677.1937916055322,805.9555417858064,6791.022416669875,,,11.42,1096320,192,"Sure, how about something like “Crafting Your Dream Home,” “Handcrafted Woodworking: Your Source for Quality,” or “Turning Wood into Home Magic.” Each of these highlights the quality and creativity of your work."
